heading,timestamp
128,2022-08-26 16:59
128,2022-08-26 16:59
127,2022-08-26 16:59
126,2022-08-26 16:59
125,2022-08-26 16:59
124,2022-08-26 16:59
121,2022-08-26 16:59
121,2022-08-26 16:59
119,2022-08-26 16:59
118,2022-08-26 16:59
116,2022-08-26 16:59
115,2022-08-26 16:59
113,2022-08-26 16:59
112,2022-08-26 16:59
110,2022-08-26 16:59
109,2022-08-26 16:59
109,2022-08-26 16:59
108,2022-08-26 16:59
107,2022-08-26 16:59
105,2022-08-26 16:59
103,2022-08-26 16:59
102,2022-08-26 16:59
100,2022-08-26 16:59
98,2022-08-26 16:59
96,2022-08-26 16:59
94,2022-08-26 16:59
93,2022-08-26 16:59
93,2022-08-26 16:59
90,2022-08-26 16:59
88,2022-08-26 16:59
88,2022-08-26 16:59
85,2022-08-26 16:59
84,2022-08-26 16:59
83,2022-08-26 16:59
81,2022-08-26 16:59
80,2022-08-26 16:59
78,2022-08-26 16:59
77,2022-08-26 16:59
76,2022-08-26 16:59
74,2022-08-26 16:59
73,2022-08-26 16:59
72,2022-08-26 16:59
71,2022-08-26 16:59
69,2022-08-26 16:59
67,2022-08-26 16:59
66,2022-08-26 16:59
66,2022-08-26 16:59
64,2022-08-26 16:59
62,2022-08-26 17:00
62,2022-08-26 17:00
61,2022-08-26 17:00
60,2022-08-26 17:00
57,2022-08-26 17:00
57,2022-08-26 17:00
57,2022-08-26 17:00
57,2022-08-26 17:00
56,2022-08-26 17:00
53,2022-08-26 17:00
50,2022-08-26 17:00
49,2022-08-26 17:00
50,2022-08-26 17:00
48,2022-08-26 17:00
47,2022-08-26 17:00
47,2022-08-26 17:00
45,2022-08-26 17:00
44,2022-08-26 17:00
42,2022-08-26 17:00
41,2022-08-26 17:00
40,2022-08-26 17:00
40,2022-08-26 17:00
40,2022-08-26 17:00
39,2022-08-26 17:00
39,2022-08-26 17:00
38,2022-08-26 17:00
38,2022-08-26 17:00
37,2022-08-26 17:00
37,2022-08-26 17:00
37,2022-08-26 17:00
37,2022-08-26 17:00
37,2022-08-26 17:00
37,2022-08-26 17:00
37,2022-08-26 17:00
36,2022-08-26 17:00
36,2022-08-26 17:00
36,2022-08-26 17:00
35,2022-08-26 17:00
35,2022-08-26 17:00
36,2022-08-26 17:00
35,2022-08-26 17:00
35,2022-08-26 17:00
36,2022-08-26 17:00
35,2022-08-26 17:00
36,2022-08-26 17:00
36,2022-08-26 17:00
36,2022-08-26 17:00
35,2022-08-26 17:00
35,2022-08-26 17:00
37,2022-08-26 17:00
38,2022-08-26 17:00
38,2022-08-26 17:00
40,2022-08-26 17:00
41,2022-08-26 17:00
41,2022-08-26 17:00
42,2022-08-26 17:00
43,2022-08-26 17:00
45,2022-08-26 17:00
46,2022-08-26 17:00
47,2022-08-26 17:00
48,2022-08-26 17:00
50,2022-08-26 17:00
51,2022-08-26 17:00
52,2022-08-26 17:00
54,2022-08-26 17:00
56,2022-08-26 17:00
58,2022-08-26 17:00
59,2022-08-26 17:00
60,2022-08-26 17:00
60,2022-08-26 17:00
61,2022-08-26 17:00
64,2022-08-26 17:00
64,2022-08-26 17:00
65,2022-08-26 17:00
67,2022-08-26 17:00
69,2022-08-26 17:00
71,2022-08-26 17:00
72,2022-08-26 17:00
72,2022-08-26 17:00
74,2022-08-26 17:00
76,2022-08-26 17:00
76,2022-08-26 17:00
78,2022-08-26 17:00
80,2022-08-26 17:00
82,2022-08-26 17:00
83,2022-08-26 17:00
85,2022-08-26 17:00
86,2022-08-26 17:00
86,2022-08-26 17:00
88,2022-08-26 17:00
91,2022-08-26 17:00
92,2022-08-26 17:00
93,2022-08-26 17:00
93,2022-08-26 17:00
96,2022-08-26 17:00
98,2022-08-26 17:00
100,2022-08-26 17:00
100,2022-08-26 17:00
102,2022-08-26 17:00
103,2022-08-26 17:00
105,2022-08-26 17:00
106,2022-08-26 17:00
107,2022-08-26 17:00
109,2022-08-26 17:00
111,2022-08-26 17:00
111,2022-08-26 17:00
112,2022-08-26 17:00
114,2022-08-26 17:00
116,2022-08-26 17:00
117,2022-08-26 17:00
118,2022-08-26 17:00
119,2022-08-26 17:00
121,2022-08-26 17:00
122,2022-08-26 17:00
123,2022-08-26 17:00
124,2022-08-26 17:00
126,2022-08-26 17:00
128,2022-08-26 17:00
128,2022-08-26 17:00
129,2022-08-26 17:00
131,2022-08-26 17:00
132,2022-08-26 17:00
133,2022-08-26 17:00
134,2022-08-26 17:00
134,2022-08-26 17:00
136,2022-08-26 17:00
138,2022-08-26 17:00
140,2022-08-26 17:00
140,2022-08-26 17:00
140,2022-08-26 17:00
140,2022-08-26 17:00
140,2022-08-26 17:00
140,2022-08-26 17:00
140,2022-08-26 17:00
140,2022-08-26 17:00
139,2022-08-26 17:00
138,2022-08-26 17:00
137,2022-08-26 17:00
136,2022-08-26 17:00
134,2022-08-26 17:00
132,2022-08-26 17:00
131,2022-08-26 17:00
131,2022-08-26 17:00
129,2022-08-26 17:00
127,2022-08-26 17:00
125,2022-08-26 17:00
125,2022-08-26 17:00
123,2022-08-26 17:00
121,2022-08-26 17:00
120,2022-08-26 17:00
120,2022-08-26 17:00
117,2022-08-26 17:00
116,2022-08-26 17:00
115,2022-08-26 17:00
114,2022-08-26 17:00
113,2022-08-26 17:00
111,2022-08-26 17:00
109,2022-08-26 17:00
108,2022-08-26 17:00
108,2022-08-26 17:00
107,2022-08-26 17:00
104,2022-08-26 17:00
102,2022-08-26 17:00
102,2022-08-26 17:00
100,2022-08-26 17:00
99,2022-08-26 17:00
97,2022-08-26 17:00
94,2022-08-26 17:00
93,2022-08-26 17:00
92,2022-08-26 17:00
90,2022-08-26 17:00
88,2022-08-26 17:00
86,2022-08-26 17:00
85,2022-08-26 17:00
84,2022-08-26 17:00
83,2022-08-26 17:00
82,2022-08-26 17:00
80,2022-08-26 17:00
78,2022-08-26 17:00
77,2022-08-26 17:00
77,2022-08-26 17:00
74,2022-08-26 17:00
73,2022-08-26 17:00
71,2022-08-26 17:00
71,2022-08-26 17:00
68,2022-08-26 17:00
66,2022-08-26 17:00
66,2022-08-26 17:00
65,2022-08-26 17:00
63,2022-08-26 17:00
63,2022-08-26 17:00
61,2022-08-26 17:00
61,2022-08-26 17:00
59,2022-08-26 17:00
57,2022-08-26 17:00
57,2022-08-26 17:00
56,2022-08-26 17:00
56,2022-08-26 17:00
54,2022-08-26 17:00
51,2022-08-26 17:00
50,2022-08-26 17:00
49,2022-08-26 17:00
48,2022-08-26 17:00
47,2022-08-26 17:00
46,2022-08-26 17:00
45,2022-08-26 17:00
44,2022-08-26 17:00
42,2022-08-26 17:00
41,2022-08-26 17:00
40,2022-08-26 17:00
39,2022-08-26 17:00
39,2022-08-26 17:00
39,2022-08-26 17:00
39,2022-08-26 17:00
38,2022-08-26 17:00
37,2022-08-26 17:00
36,2022-08-26 17:00
37,2022-08-26 17:00
36,2022-08-26 17:00
37,2022-08-26 17:00
36,2022-08-26 17:00
36,2022-08-26 17:00
35,2022-08-26 17:00
36,2022-08-26 17:00
37,2022-08-26 17:00
36,2022-08-26 17:00
36,2022-08-26 17:00
37,2022-08-26 17:00
37,2022-08-26 17:00
37,2022-08-26 17:00
39,2022-08-26 17:00
40,2022-08-26 17:00
41,2022-08-26 17:00
42,2022-08-26 17:00
42,2022-08-26 17:00
44,2022-08-26 17:00
46,2022-08-26 17:00
47,2022-08-26 17:00
47,2022-08-26 17:00
48,2022-08-26 17:00
50,2022-08-26 17:00
51,2022-08-26 17:00
53,2022-08-26 17:00
54,2022-08-26 17:00
56,2022-08-26 17:00
58,2022-08-26 17:00
58,2022-08-26 17:00
60,2022-08-26 17:00
60,2022-08-26 17:00
62,2022-08-26 17:00
64,2022-08-26 17:00
65,2022-08-26 17:00
66,2022-08-26 17:00
68,2022-08-26 17:00
69,2022-08-26 17:00
71,2022-08-26 17:00
72,2022-08-26 17:00
73,2022-08-26 17:00
75,2022-08-26 17:00
77,2022-08-26 17:00
77,2022-08-26 17:00
79,2022-08-26 17:00
80,2022-08-26 17:00
83,2022-08-26 17:00
84,2022-08-26 17:00
85,2022-08-26 17:00
87,2022-08-26 17:00
87,2022-08-26 17:00
89,2022-08-26 17:00
91,2022-08-26 17:01
91,2022-08-26 17:01
94,2022-08-26 17:01
95,2022-08-26 17:01
97,2022-08-26 17:01
99,2022-08-26 17:01
101,2022-08-26 17:01
102,2022-08-26 17:01
103,2022-08-26 17:01
104,2022-08-26 17:01
106,2022-08-26 17:01
107,2022-08-26 17:01
108,2022-08-26 17:01
110,2022-08-26 17:01
111,2022-08-26 17:01
111,2022-08-26 17:01
113,2022-08-26 17:01
115,2022-08-26 17:01
116,2022-08-26 17:01
117,2022-08-26 17:01
119,2022-08-26 17:01
120,2022-08-26 17:01
121,2022-08-26 17:01
122,2022-08-26 17:01
124,2022-08-26 17:01
126,2022-08-26 17:01
127,2022-08-26 17:01
129,2022-08-26 17:01
129,2022-08-26 17:01
131,2022-08-26 17:01
131,2022-08-26 17:01
132,2022-08-26 17:01
134,2022-08-26 17:01
135,2022-08-26 17:01
134,2022-08-26 17:01
136,2022-08-26 17:01
138,2022-08-26 17:01
138,2022-08-26 17:01
140,2022-08-26 17:01
142,2022-08-26 17:01
142,2022-08-26 17:01
142,2022-08-26 17:01
143,2022-08-26 17:01
142,2022-08-26 17:01
142,2022-08-26 17:01
141,2022-08-26 17:01
141,2022-08-26 17:01
140,2022-08-26 17:01
139,2022-08-26 17:01
138,2022-08-26 17:01
137,2022-08-26 17:01
136,2022-08-26 17:01
133,2022-08-26 17:01
131,2022-08-26 17:01
130,2022-08-26 17:01
129,2022-08-26 17:01
128,2022-08-26 17:01
126,2022-08-26 17:01
125,2022-08-26 17:01
123,2022-08-26 17:01
122,2022-08-26 17:01
120,2022-08-26 17:01
119,2022-08-26 17:01
117,2022-08-26 17:01
115,2022-08-26 17:01
114,2022-08-26 17:01
113,2022-08-26 17:01
111,2022-08-26 17:01
109,2022-08-26 17:01
108,2022-08-26 17:01
107,2022-08-26 17:01
105,2022-08-26 17:01
102,2022-08-26 17:01
102,2022-08-26 17:01
100,2022-08-26 17:01
98,2022-08-26 17:01
98,2022-08-26 17:01
97,2022-08-26 17:01
93,2022-08-26 17:01
92,2022-08-26 17:01
92,2022-08-26 17:01
90,2022-08-26 17:01
87,2022-08-26 17:01
86,2022-08-26 17:01
85,2022-08-26 17:01
84,2022-08-26 17:01
82,2022-08-26 17:01
79,2022-08-26 17:01
79,2022-08-26 17:01
78,2022-08-26 17:01
76,2022-08-26 17:01
75,2022-08-26 17:01
72,2022-08-26 17:01
71,2022-08-26 17:01
71,2022-08-26 17:01
69,2022-08-26 17:01
67,2022-08-26 17:01
65,2022-08-26 17:01
64,2022-08-26 17:01
62,2022-08-26 17:01
61,2022-08-26 17:01
60,2022-08-26 17:01
59,2022-08-26 17:01
57,2022-08-26 17:01
57,2022-08-26 17:01
57,2022-08-26 17:01
56,2022-08-26 17:01
52,2022-08-26 17:01
50,2022-08-26 17:01
51,2022-08-26 17:01
49,2022-08-26 17:01
48,2022-08-26 17:01
46,2022-08-26 17:01
45,2022-08-26 17:01
44,2022-08-26 17:01
43,2022-08-26 17:01
41,2022-08-26 17:01
41,2022-08-26 17:01
39,2022-08-26 17:01
39,2022-08-26 17:01
39,2022-08-26 17:01
38,2022-08-26 17:01
38,2022-08-26 17:01
38,2022-08-26 17:01
37,2022-08-26 17:01
37,2022-08-26 17:01
37,2022-08-26 17:01
37,2022-08-26 17:01
37,2022-08-26 17:01
38,2022-08-26 17:01
37,2022-08-26 17:01
37,2022-08-26 17:01
37,2022-08-26 17:01
37,2022-08-26 17:01
38,2022-08-26 17:01
37,2022-08-26 17:01
37,2022-08-26 17:01
37,2022-08-26 17:01
37,2022-08-26 17:01
37,2022-08-26 17:01
38,2022-08-26 17:01
40,2022-08-26 17:01
41,2022-08-26 17:01
41,2022-08-26 17:01
42,2022-08-26 17:01
43,2022-08-26 17:01
44,2022-08-26 17:01
45,2022-08-26 17:01
46,2022-08-26 17:01
47,2022-08-26 17:01
47,2022-08-26 17:01
50,2022-08-26 17:01
50,2022-08-26 17:01
51,2022-08-26 17:01
53,2022-08-26 17:01
54,2022-08-26 17:01
57,2022-08-26 17:01
58,2022-08-26 17:01
60,2022-08-26 17:01
60,2022-08-26 17:01
61,2022-08-26 17:01
61,2022-08-26 17:01
62,2022-08-26 17:01
64,2022-08-26 17:01
65,2022-08-26 17:01
66,2022-08-26 17:01
68,2022-08-26 17:01
70,2022-08-26 17:01
71,2022-08-26 17:01
71,2022-08-26 17:01
74,2022-08-26 17:01
75,2022-08-26 17:01
77,2022-08-26 17:01
77,2022-08-26 17:01
79,2022-08-26 17:01
81,2022-08-26 17:01
82,2022-08-26 17:01
84,2022-08-26 17:01
84,2022-08-26 17:01
86,2022-08-26 17:01
87,2022-08-26 17:01
89,2022-08-26 17:01
89,2022-08-26 17:01
91,2022-08-26 17:01
92,2022-08-26 17:01
93,2022-08-26 17:01
96,2022-08-26 17:01
98,2022-08-26 17:01
98,2022-08-26 17:01
101,2022-08-26 17:01
102,2022-08-26 17:01
103,2022-08-26 17:01
105,2022-08-26 17:01
106,2022-08-26 17:01
107,2022-08-26 17:01
109,2022-08-26 17:01
110,2022-08-26 17:01
111,2022-08-26 17:01
112,2022-08-26 17:01
113,2022-08-26 17:01
115,2022-08-26 17:01
116,2022-08-26 17:01
117,2022-08-26 17:01
118,2022-08-26 17:01
119,2022-08-26 17:01
121,2022-08-26 17:01
121,2022-08-26 17:01
124,2022-08-26 17:01
125,2022-08-26 17:01
126,2022-08-26 17:01
127,2022-08-26 17:01
128,2022-08-26 17:01
130,2022-08-26 17:01
131,2022-08-26 17:01
132,2022-08-26 17:01
133,2022-08-26 17:01
135,2022-08-26 17:01
135,2022-08-26 17:01
135,2022-08-26 17:01
137,2022-08-26 17:01
139,2022-08-26 17:01
138,2022-08-26 17:01
138,2022-08-26 17:01
137,2022-08-26 17:01
138,2022-08-26 17:01
138,2022-08-26 17:01
137,2022-08-26 17:01
136,2022-08-26 17:01
135,2022-08-26 17:01
134,2022-08-26 17:01
132,2022-08-26 17:01
131,2022-08-26 17:01
129,2022-08-26 17:01
128,2022-08-26 17:01
127,2022-08-26 17:01
125,2022-08-26 17:01
123,2022-08-26 17:01
122,2022-08-26 17:01
122,2022-08-26 17:01
120,2022-08-26 17:01
118,2022-08-26 17:01
117,2022-08-26 17:01
116,2022-08-26 17:01
115,2022-08-26 17:01
113,2022-08-26 17:01
111,2022-08-26 17:01
111,2022-08-26 17:01
109,2022-08-26 17:01
108,2022-08-26 17:01
108,2022-08-26 17:01
105,2022-08-26 17:01
104,2022-08-26 17:01
102,2022-08-26 17:01
101,2022-08-26 17:01
99,2022-08-26 17:01
99,2022-08-26 17:01
98,2022-08-26 17:01
95,2022-08-26 17:01
92,2022-08-26 17:01
92,2022-08-26 17:01
91,2022-08-26 17:01
89,2022-08-26 17:01
87,2022-08-26 17:01
86,2022-08-26 17:01
85,2022-08-26 17:01
83,2022-08-26 17:01
81,2022-08-26 17:01
80,2022-08-26 17:01
78,2022-08-26 17:01
77,2022-08-26 17:02
77,2022-08-26 17:02
73,2022-08-26 17:02
72,2022-08-26 17:02
72,2022-08-26 17:02
70,2022-08-26 17:02
69,2022-08-26 17:02
66,2022-08-26 17:02
66,2022-08-26 17:02
65,2022-08-26 17:02
64,2022-08-26 17:02
62,2022-08-26 17:02
61,2022-08-26 17:02
60,2022-08-26 17:02
59,2022-08-26 17:02
58,2022-08-26 17:02
56,2022-08-26 17:02
55,2022-08-26 17:02
52,2022-08-26 17:02
51,2022-08-26 17:02
51,2022-08-26 17:02
49,2022-08-26 17:02
48,2022-08-26 17:02
47,2022-08-26 17:02
46,2022-08-26 17:02
45,2022-08-26 17:02
44,2022-08-26 17:02
42,2022-08-26 17:02
42,2022-08-26 17:02
40,2022-08-26 17:02
39,2022-08-26 17:02
39,2022-08-26 17:02
39,2022-08-26 17:02
39,2022-08-26 17:02
39,2022-08-26 17:02
38,2022-08-26 17:02
37,2022-08-26 17:02
37,2022-08-26 17:02
36,2022-08-26 17:02
36,2022-08-26 17:02
35,2022-08-26 17:02
35,2022-08-26 17:02
35,2022-08-26 17:02
35,2022-08-26 17:02
35,2022-08-26 17:02
35,2022-08-26 17:02
35,2022-08-26 17:02
35,2022-08-26 17:02
35,2022-08-26 17:02
36,2022-08-26 17:02
36,2022-08-26 17:02
37,2022-08-26 17:02
37,2022-08-26 17:02
38,2022-08-26 17:02
39,2022-08-26 17:02
40,2022-08-26 17:02
40,2022-08-26 17:02
42,2022-08-26 17:02
43,2022-08-26 17:02
44,2022-08-26 17:02
45,2022-08-26 17:02
47,2022-08-26 17:02
48,2022-08-26 17:02
49,2022-08-26 17:02
50,2022-08-26 17:02
50,2022-08-26 17:02
53,2022-08-26 17:02
54,2022-08-26 17:02
57,2022-08-26 17:02
58,2022-08-26 17:02
59,2022-08-26 17:02
61,2022-08-26 17:02
62,2022-08-26 17:02
62,2022-08-26 17:02
63,2022-08-26 17:02
65,2022-08-26 17:02
66,2022-08-26 17:02
68,2022-08-26 17:02
69,2022-08-26 17:02
70,2022-08-26 17:02
72,2022-08-26 17:02
73,2022-08-26 17:02
75,2022-08-26 17:02
76,2022-08-26 17:02
77,2022-08-26 17:02
80,2022-08-26 17:02
81,2022-08-26 17:02
82,2022-08-26 17:02
83,2022-08-26 17:02
85,2022-08-26 17:02
86,2022-08-26 17:02
87,2022-08-26 17:02
88,2022-08-26 17:02
90,2022-08-26 17:02
92,2022-08-26 17:02
92,2022-08-26 17:02
93,2022-08-26 17:02
95,2022-08-26 17:02
97,2022-08-26 17:02
99,2022-08-26 17:02
99,2022-08-26 17:02
100,2022-08-26 17:02
103,2022-08-26 17:02
104,2022-08-26 17:02
105,2022-08-26 17:02
107,2022-08-26 17:02
108,2022-08-26 17:02
109,2022-08-26 17:02
111,2022-08-26 17:02
111,2022-08-26 17:02
112,2022-08-26 17:02
114,2022-08-26 17:02
115,2022-08-26 17:02
117,2022-08-26 17:02
118,2022-08-26 17:02
120,2022-08-26 17:02
121,2022-08-26 17:02
122,2022-08-26 17:02
123,2022-08-26 17:02
123,2022-08-26 17:02
125,2022-08-26 17:02
125,2022-08-26 17:02
125,2022-08-26 17:02
126,2022-08-26 17:02
125,2022-08-26 17:02
126,2022-08-26 17:02
128,2022-08-26 17:02
129,2022-08-26 17:02
130,2022-08-26 17:02
131,2022-08-26 17:02
131,2022-08-26 17:02
132,2022-08-26 17:02
132,2022-08-26 17:02
132,2022-08-26 17:02
132,2022-08-26 17:02
132,2022-08-26 17:02
132,2022-08-26 17:02
131,2022-08-26 17:02
130,2022-08-26 17:02
129,2022-08-26 17:02
128,2022-08-26 17:02
127,2022-08-26 17:02
126,2022-08-26 17:02
124,2022-08-26 17:02
123,2022-08-26 17:02
122,2022-08-26 17:02
120,2022-08-26 17:02
119,2022-08-26 17:02
116,2022-08-26 17:02
115,2022-08-26 17:02
114,2022-08-26 17:02
112,2022-08-26 17:02
111,2022-08-26 17:02
109,2022-08-26 17:02
108,2022-08-26 17:02
106,2022-08-26 17:02
106,2022-08-26 17:02
104,2022-08-26 17:02
102,2022-08-26 17:02
101,2022-08-26 17:02
99,2022-08-26 17:02
98,2022-08-26 17:02
95,2022-08-26 17:02
93,2022-08-26 17:02
93,2022-08-26 17:02
92,2022-08-26 17:02
90,2022-08-26 17:02
89,2022-08-26 17:02
87,2022-08-26 17:02
85,2022-08-26 17:02
84,2022-08-26 17:02
84,2022-08-26 17:02
83,2022-08-26 17:02
80,2022-08-26 17:02
79,2022-08-26 17:02
78,2022-08-26 17:02
77,2022-08-26 17:02
77,2022-08-26 17:02
74,2022-08-26 17:02
72,2022-08-26 17:02
72,2022-08-26 17:02
70,2022-08-26 17:02
68,2022-08-26 17:02
66,2022-08-26 17:02
66,2022-08-26 17:02
65,2022-08-26 17:02
64,2022-08-26 17:02
62,2022-08-26 17:02
62,2022-08-26 17:02
60,2022-08-26 17:02
59,2022-08-26 17:02
58,2022-08-26 17:02
58,2022-08-26 17:02
57,2022-08-26 17:02
55,2022-08-26 17:02
52,2022-08-26 17:02
51,2022-08-26 17:02
51,2022-08-26 17:02
50,2022-08-26 17:02
48,2022-08-26 17:02
47,2022-08-26 17:02
45,2022-08-26 17:02
44,2022-08-26 17:02
44,2022-08-26 17:02
42,2022-08-26 17:02
41,2022-08-26 17:02
40,2022-08-26 17:02
40,2022-08-26 17:02
40,2022-08-26 17:02
39,2022-08-26 17:02
39,2022-08-26 17:02
38,2022-08-26 17:02
38,2022-08-26 17:02
37,2022-08-26 17:02
36,2022-08-26 17:02
36,2022-08-26 17:02
36,2022-08-26 17:02
36,2022-08-26 17:02
35,2022-08-26 17:02
35,2022-08-26 17:02
35,2022-08-26 17:02
36,2022-08-26 17:02
36,2022-08-26 17:02
35,2022-08-26 17:02
35,2022-08-26 17:02
36,2022-08-26 17:02
35,2022-08-26 17:02
36,2022-08-26 17:02
36,2022-08-26 17:02
36,2022-08-26 17:02
36,2022-08-26 17:02
36,2022-08-26 17:02
37,2022-08-26 17:02
38,2022-08-26 17:02
39,2022-08-26 17:02
40,2022-08-26 17:02
41,2022-08-26 17:02
42,2022-08-26 17:02
43,2022-08-26 17:02
44,2022-08-26 17:02
45,2022-08-26 17:02
46,2022-08-26 17:02
47,2022-08-26 17:02
48,2022-08-26 17:02
48,2022-08-26 17:02
50,2022-08-26 17:02
51,2022-08-26 17:02
53,2022-08-26 17:02
54,2022-08-26 17:02
56,2022-08-26 17:02
57,2022-08-26 17:02
57,2022-08-26 17:02
60,2022-08-26 17:02
62,2022-08-26 17:02
62,2022-08-26 17:02
62,2022-08-26 17:02
65,2022-08-26 17:02
65,2022-08-26 17:02
67,2022-08-26 17:02
69,2022-08-26 17:02
70,2022-08-26 17:02
72,2022-08-26 17:02
73,2022-08-26 17:02
74,2022-08-26 17:02
76,2022-08-26 17:02
77,2022-08-26 17:02
79,2022-08-26 17:02
81,2022-08-26 17:02
81,2022-08-26 17:03
83,2022-08-26 17:03
85,2022-08-26 17:03
86,2022-08-26 17:03
87,2022-08-26 17:03
88,2022-08-26 17:03
90,2022-08-26 17:03
92,2022-08-26 17:03
92,2022-08-26 17:03
93,2022-08-26 17:03
96,2022-08-26 17:03
98,2022-08-26 17:03
99,2022-08-26 17:03
101,2022-08-26 17:03
102,2022-08-26 17:03
103,2022-08-26 17:03
105,2022-08-26 17:03
106,2022-08-26 17:03
107,2022-08-26 17:03
